model_size;LowCost;HighCmpl;S&P;HyBlock
1.0;0.0;99.83;99.8;99.78
1.0;100.0;100.0;100.0;100.0
1.0;0.0;99.98;99.83;99.78
1.0;0.0;99.88;99.29;99.12
1.0;100.0;100.0;100.0;100.0
1.0;0.0;99.78;99.61;99.56
1.0;0.0;99.98;99.8;99.8
1.0;0.0;99.83;99.41;99.39
1.0;0.0;99.9;99.61;99.58
1.0;100.0;100.0;100.0;100.0
1.0;0.0;99.85;99.8;99.78
1.0;0.0;99.93;100.0;99.93
1.0;0.0;99.88;99.63;99.54
1.0;0.0;99.98;100.0;99.98
1.0;0.0;99.88;98.24;99.78
1.0;0.0;99.95;99.85;99.76
1.0;0.0;100.0;98.24;99.8
1.0;0.0;99.98;99.8;99.78
1.0;0.0;99.8;98.05;99.61
1.0;0.0;99.93;99.41;99.37
1.0;0.0;99.83;99.68;99.51
1.0;0.0;99.73;99.85;77.08
1.0;100.0;100.0;99.8;99.8
1.0;0.0;99.85;99.8;99.76
1.0;0.0;99.93;99.8;99.8
1.0;100.0;100.0;99.8;99.8
1.0;0.0;99.95;100.0;99.95
1.0;100.0;100.0;100.0;100.0
1.0;0.0;99.95;98.05;99.58
1.0;0.0;99.95;87.3;99.8
1.0;0.0;99.93;98.05;99.58
1.0;0.0;99.93;99.83;99.76
1.0;100.0;100.0;100.0;100.0
1.0;0.0;99.98;99.8;99.8
1.0;0.0;99.76;98.46;99.98
1.0;0.0;99.93;99.8;99.8
1.0;0.0;99.9;98.44;99.95
1.0;0.0;99.93;98.44;99.95
1.0;0.0;99.98;100.0;99.98
1.0;0.0;99.98;99.61;99.61
1.0;0.0;99.95;99.61;99.58
1.0;0.0;99.98;100.0;99.98
1.0;0.0;99.9;99.41;99.37
1.0;0.0;99.85;98.44;99.88
1.0;0.0;99.98;100.02;99.98
256.0;0.0;99.71;99.27;99.0
256.0;0.0;99.93;98.48;99.93
256.0;0.0;99.76;97.87;99.27
256.0;0.0;99.76;98.68;98.44
256.0;0.0;99.83;96.31;99.37
256.0;0.0;99.63;98.14;99.41
256.0;0.0;99.76;98.92;98.66
256.0;0.0;99.71;97.87;97.53
256.0;0.0;99.88;99.66;99.54
256.0;0.0;99.63;97.46;98.83
256.0;0.0;99.56;96.9;99.88
256.0;0.0;99.76;99.27;99.02
256.0;0.0;99.85;98.12;99.46
256.0;0.0;99.8;98.04;99.24
256.0;0.0;99.66;99.09;98.58
1024.0;0.0;98.71;96.98;97.19
1024.0;0.0;99.27;96.76;96.26
1024.0;0.0;98.54;97.74;96.7
1024.0;0.0;99.54;96.74;97.68
1024.0;0.0;99.19;97.01;96.44
1024.0;0.0;99.05;97.33;96.8
1024.0;0.0;99.29;95.44;96.19
1024.0;0.0;98.95;92.66;94.82
1024.0;0.0;99.37;96.81;97.75
1024.0;0.0;98.93;93.04;96.7
1024.0;0.0;99.37;81.77;95.19
1024.0;0.0;99.39;84.74;97.88
1024.0;0.0;99.07;84.08;97.05
1024.0;0.0;99.58;95.79;96.97
1024.0;0.0;99.29;93.23;95.29
1024.0;0.0;99.07;96.0;96.78
1024.0;0.0;99.0;93.17;96.14
1024.0;0.0;99.0;92.28;97.85
1024.0;0.0;99.27;92.67;96.51
1024.0;0.0;99.05;97.16;98.24
1024.0;0.0;99.29;98.23;97.53
1024.0;0.0;98.97;82.13;95.56
1024.0;0.0;99.29;94.13;95.7
1024.0;0.0;98.56;83.05;96.22
1024.0;0.0;98.9;95.39;97.66
1024.0;0.0;99.12;97.3;96.78
1024.0;0.0;99.22;98.38;97.95
1024.0;0.0;99.54;95.24;97.68
1024.0;0.0;99.22;96.1;97.02
1024.0;0.0;98.58;93.05;96.14
1024.0;0.0;99.39;97.52;97.05
1024.0;0.0;99.29;94.58;96.88
1024.0;0.0;98.8;95.19;95.87
1024.0;0.0;99.22;86.82;98.07
1024.0;0.0;99.32;96.81;97.66
1024.0;0.0;99.27;82.0;96.31
1024.0;0.0;99.0;95.61;97.17
1024.0;0.0;99.27;83.43;96.34
4096.0;0.0;0.0;85.52;87.96
4096.0;0.0;0.0;73.9;87.65
4096.0;0.0;0.0;76.55;86.47
4096.0;0.0;0.0;87.83;91.09
4096.0;0.0;0.0;85.54;85.4
4096.0;0.0;0.0;66.46;88.38
4096.0;0.0;0.0;88.24;87.82
4096.0;0.0;0.0;87.8;88.13
4096.0;0.0;0.0;83.91;84.42
4096.0;0.0;0.0;84.77;88.92
4096.0;0.0;0.0;78.64;89.09
4096.0;0.0;0.0;86.04;85.45
4096.0;0.0;0.0;79.09;87.82
4096.0;0.0;0.0;83.54;89.89
4096.0;0.0;0.0;71.81;87.52
4096.0;0.0;0.0;77.4;88.21
4096.0;0.0;0.0;73.78;88.99
4096.0;0.0;0.0;81.71;86.77
4096.0;0.0;0.0;85.55;85.86
4096.0;0.0;0.0;83.45;85.69
4096.0;0.0;0.0;62.47;88.04
4096.0;0.0;0.0;85.23;85.21
4096.0;0.0;0.0;85.38;85.84
4096.0;0.0;0.0;81.36;86.82
4096.0;0.0;0.0;73.52;86.96
4096.0;0.0;0.0;79.71;87.82
4096.0;0.0;0.0;84.72;87.72
4096.0;0.0;0.0;83.98;88.23
4096.0;0.0;0.0;84.06;86.16
4096.0;0.0;0.0;0.0;86.72
16384.0;0.0;0.0;0.0;0.0
16384.0;0.0;0.0;0.0;0.0
16384.0;0.0;0.0;32.67;0.0
16384.0;0.0;0.0;40.87;0.0
16384.0;0.0;0.0;42.65;0.0
16384.0;0.0;0.0;46.92;0.0
16384.0;0.0;0.0;38.45;51.15
16384.0;0.0;0.0;35.12;0.0
16384.0;0.0;0.0;28.93;0.0
16384.0;0.0;0.0;24.73;12.11
16384.0;0.0;0.0;37.99;0.0
16384.0;0.0;0.0;54.21;0.0
16384.0;0.0;0.0;52.54;57.35
16384.0;0.0;0.0;28.08;0.0
16384.0;0.0;0.0;51.08;0.0
